Mesure complète MiCS6814 + BME690 + SCD41 + SDS011
Date: 2026-03-27 22:17:47
RED_R0=393643.25
OX_R0=12887.26
NH3_R0=144596.18

33s | CO:5.3736911997886185 | NO2:0.17615958405534235 | NH3:0.412754934399462 | CO2:1216 | T:21.67 | H:65.909 | P:1017.62 | GAS:2.2 | PM25:4.7 | PM10:16.0
34s | CO:6.2413953562800915 | NO2:0.10568831843532453 | NH3:1.7156906024783878 | CO2:1216 | T:21.66 | H:66.045 | P:1017.61 | GAS:4626.9 | PM25:4.9 | PM10:15.7
35s | CO:6.057624972330045 | NO2:0.10546942435015758 | NH3:1.6079965113700523 | CO2:1216 | T:21.65 | H:66.204 | P:1017.61 | GAS:4619.1 | PM25:4.9 | PM10:16.8
36s | CO:6.015568399323868 | NO2:0.10590733636438696 | NH3:1.5318536924482962 | CO2:1216 | T:21.64 | H:66.14 | P:1017.61 | GAS:4623.0 | PM25:4.9 | PM10:16.6
37s | CO:5.904059557593461 | NO2:0.10766395081783653 | NH3:1.380941391227746 | CO2:1171 | T:21.63 | H:65.132 | P:1017.62 | GAS:4630.8 | PM25:4.8 | PM10:17.1
38s | CO:6.071673086450317 | NO2:0.1061264782424754 | NH3:1.4478803333219183 | CO2:1171 | T:21.62 | H:64.411 | P:1017.62 | GAS:4630.8 | PM25:4.8 | PM10:16.9
39s | CO:5.9736432861005415 | NO2:0.10700428735187222 | NH3:1.3941142129093866 | CO2:1171 | T:21.61 | H:63.912 | P:1017.62 | GAS:4642.6 | PM25:4.9 | PM10:17.0
40s | CO:5.987603732551246 | NO2:0.1074439383428881 | NH3:1.3704792971336826 | CO2:1171 | T:21.6 | H:63.501 | P:1017.61 | GAS:4650.5 | PM25:4.9 | PM10:16.9
41s | CO:5.987603732551246 | NO2:0.10810435025705242 | NH3:1.3394945837222616 | CO2:1171 | T:21.58 | H:63.174 | P:1017.61 | GAS:4642.6 | PM25:4.8 | PM10:16.8
42s | CO:5.917947199778493 | NO2:0.11075727736570225 | NH3:1.2166480788249248 | CO2:1186 | T:21.57 | H:62.948 | P:1017.61 | GAS:4666.4 | PM25:4.8 | PM10:15.9
44s | CO:6.043591492623658 | NO2:0.10987095682186843 | NH3:1.311613350247377 | CO2:1186 | T:21.55 | H:62.821 | P:1017.62 | GAS:4646.6 | PM25:4.7 | PM10:15.9
45s | CO:6.043591492623658 | NO2:0.11009234789627743 | NH3:1.2941262201754147 | CO2:1186 | T:21.54 | H:62.67 | P:1017.62 | GAS:4662.4 | PM25:4.8 | PM10:15.6
46s | CO:6.043591492623658 | NO2:0.1105355080605896 | NH3:1.284221727781853 | CO2:1186 | T:21.52 | H:62.679 | P:1017.62 | GAS:4666.4 | PM25:4.9 | PM10:16.5
47s | CO:6.001578767230529 | NO2:0.11409903267516151 | NH3:1.188607613185655 | CO2:1186 | T:21.5 | H:62.589 | P:1017.63 | GAS:4658.5 | PM25:4.9 | PM10:17.3
48s | CO:6.1704204345202704 | NO2:0.11231320473796731 | NH3:1.274380828221004 | CO2:1192 | T:21.48 | H:62.585 | P:1017.62 | GAS:4666.4 | PM25:5.0 | PM10:17.9
49s | CO:6.113905328566154 | NO2:0.11253598741001813 | NH3:1.2621685051619285 | CO2:1192 | T:21.47 | H:62.658 | P:1017.62 | GAS:4674.4 | PM25:5.1 | PM10:17.8
50s | CO:6.099813255215499 | NO2:0.11298193434019808 | NH3:1.2500541077595524 | CO2:1192 | T:21.45 | H:62.754 | P:1017.63 | GAS:4666.4 | PM25:5.1 | PM10:18.0
51s | CO:6.1562696172637414 | NO2:0.11365181033603275 | NH3:1.2404325663301758 | CO2:1192 | T:21.44 | H:62.814 | P:1017.63 | GAS:4666.4 | PM25:5.2 | PM10:17.8
52s | CO:6.14213350016044 | NO2:0.11792117131034709 | NH3:1.1656509071732841 | CO2:1192 | T:21.42 | H:62.724 | P:1017.63 | GAS:4682.4 | PM25:5.2 | PM10:17.8
53s | CO:6.184585961423876 | NO2:0.11499501332023922 | NH3:1.235644983383798 | CO2:1194 | T:21.41 | H:62.697 | P:1017.63 | GAS:4666.4 | PM25:5.2 | PM10:16.5
54s | CO:6.1562696172637414 | NO2:0.11566834623984996 | NH3:1.2284924537691064 | CO2:1194 | T:21.39 | H:62.694 | P:1017.62 | GAS:4670.4 | PM25:5.3 | PM10:16.3
55s | CO:6.1704204345202704 | NO2:0.11611787814414351 | NH3:1.2213743895531641 | CO2:1194 | T:21.38 | H:62.754 | P:1017.62 | GAS:4682.4 | PM25:5.3 | PM10:16.4
56s | CO:6.085735844298796 | NO2:0.1185995450010692 | NH3:1.3242254141700889 | CO2:1194 | T:21.39 | H:66.665 | P:1017.62 | GAS:4611.3 | PM25:5.3 | PM10:16.1
57s | CO:6.19876620749394 | NO2:0.12018697722250653 | NH3:1.1565712372580246 | CO2:1194 | T:21.51 | H:77.056 | P:1017.65 | GAS:4557.4 | PM25:5.2 | PM10:15.8
59s | CO:6.227170895338823 | NO2:0.11724396588660094 | NH3:1.2284924537691064 | CO2:1197 | T:21.54 | H:76.11 | P:1017.65 | GAS:4603.5 | PM25:5.2 | PM10:15.7
60s | CO:6.2413953562800915 | NO2:0.11769530651077481 | NH3:1.2237432584047818 | CO2:1197 | T:21.54 | H:72.631 | P:1017.65 | GAS:4615.2 | PM25:5.1 | PM10:15.4
61s | CO:6.2413953562800915 | NO2:0.1185995450010692 | NH3:1.211936963286835 | CO2:1197 | T:21.53 | H:69.555 | P:1017.64 | GAS:4634.7 | PM25:5.1 | PM10:15.2
62s | CO:6.184585961423876 | NO2:0.12178082516308358 | NH3:1.1633755034435829 | CO2:1197 | T:21.51 | H:67.444 | P:1017.64 | GAS:4634.7 | PM25:5.1 | PM10:15.9
63s | CO:6.284157322713491 | NO2:0.11950586579070802 | NH3:1.2166480788249248 | CO2:1197 | T:21.5 | H:66.301 | P:1017.64 | GAS:4658.5 | PM25:5.2 | PM10:17.2
64s | CO:6.269888560307733 | NO2:0.11995980929680872 | NH3:1.21429062470944 | CO2:1202 | T:21.48 | H:65.441 | P:1017.64 | GAS:4658.5 | PM25:5.4 | PM10:18.1
65s | CO:6.312739216798198 | NO2:0.12018697722250653 | NH3:1.211936963286835 | CO2:1202 | T:21.47 | H:64.868 | P:1017.64 | GAS:4654.5 | PM25:5.4 | PM10:18.2
66s | CO:6.19876620749394 | NO2:0.12315211646319334 | NH3:1.134126327853224 | CO2:1202 | T:21.46 | H:64.544 | P:1017.64 | GAS:4658.5 | PM25:5.4 | PM10:18.1
67s | CO:6.14213350016044 | NO2:0.16713501520004817 | NH3:0.4458036960250444 | CO2:1202 | T:21.44 | H:64.255 | P:1017.64 | GAS:4674.4 | PM25:5.4 | PM10:17.4
68s | CO:6.3988405565150925 | NO2:0.12155273832730772 | NH3:1.2694840971491599 | CO2:1202 | T:21.43 | H:64.24 | P:1017.64 | GAS:4666.4 | PM25:5.4 | PM10:18.5
69s | CO:6.485477039380916 | NO2:0.1598023140793198 | NH3:0.673376865685117 | CO2:1198 | T:21.42 | H:64.214 | P:1017.63 | GAS:4674.4 | PM25:5.6 | PM10:18.4
70s | CO:6.7191404284291005 | NO2:0.1548198035537288 | NH3:0.7880285880590562 | CO2:1198 | T:21.41 | H:64.224 | P:1017.63 | GAS:4690.5 | PM25:5.7 | PM10:20.2
71s | CO:6.558084454025208 | NO2:0.15407759213754435 | NH3:0.8133320208135062 | CO2:1198 | T:21.41 | H:64.162 | P:1017.62 | GAS:4682.4 | PM25:5.7 | PM10:20.5
72s | CO:6.015568399323868 | NO2:0.15705449558605244 | NH3:0.8048286844980747 | CO2:1198 | T:21.4 | H:64.148 | P:1017.62 | GAS:4662.4 | PM25:5.8 | PM10:21.6
74s | CO:6.528996632494791 | NO2:0.12845311211881427 | NH3:1.4369879341590976 | CO2:1198 | T:21.39 | H:64.047 | P:1017.63 | GAS:4658.5 | PM25:5.8 | PM10:21.5
75s | CO:6.34138033486285 | NO2:0.13054678945572937 | NH3:1.3141276441247254 | CO2:1195 | T:21.38 | H:64.12 | P:1017.63 | GAS:4666.4 | PM25:5.8 | PM10:21.8
76s | CO:6.471000371687832 | NO2:0.12338112779592791 | NH3:1.5318536924482962 | CO2:1195 | T:21.38 | H:64.182 | P:1017.62 | GAS:4682.4 | PM25:5.8 | PM10:21.7
77s | CO:6.370080755201766 | NO2:0.1277576555979426 | NH3:1.3523321174270755 | CO2:1195 | T:21.38 | H:64.058 | P:1017.62 | GAS:4666.4 | PM25:5.8 | PM10:22.4
78s | CO:6.616439885976344 | NO2:0.1242984995753616 | NH3:1.4397044488773751 | CO2:1195 | T:21.37 | H:63.919 | P:1017.63 | GAS:4666.4 | PM25:5.8 | PM10:22.1
79s | CO:6.370080755201766 | NO2:0.12406895743280934 | NH3:1.3941142129093866 | CO2:1195 | T:21.37 | H:63.658 | P:1017.63 | GAS:4654.5 | PM25:5.8 | PM10:22.4
80s | CO:6.370080755201766 | NO2:0.12383954816559282 | NH3:1.362676864145882 | CO2:1205 | T:21.36 | H:63.508 | P:1017.63 | GAS:4682.4 | PM25:5.7 | PM10:21.8
81s | CO:6.2556345747207445 | NO2:0.13382557489054264 | NH3:1.0668013220637342 | CO2:1205 | T:21.36 | H:63.57 | P:1017.63 | GAS:4682.4 | PM25:5.7 | PM10:22.1
82s | CO:6.471000371687832 | NO2:0.12914978447276448 | NH3:1.2548881662631588 | CO2:1205 | T:21.35 | H:63.494 | P:1017.64 | GAS:4690.5 | PM25:5.7 | PM10:22.8
