Mesures MiCS-6814 + SDS011
Date: 2026-03-10 00:14:51
SDS011: /dev/ttyUSB0

34s | CO_V:0.024500V NH3_V:0.578125V CH4_V:0.016875V | CO:0.18ppm NH3:36.19ppm CH4:0.06ppm | PM2.5:11.2ug/m3 PM10:22.0ug/m3
35s | CO_V:0.024125V NH3_V:0.578125V CH4_V:0.017125V | CO:0.18ppm NH3:36.19ppm CH4:0.06ppm | PM2.5:11.3ug/m3 PM10:22.2ug/m3
36s | CO_V:0.025250V NH3_V:0.577750V CH4_V:0.017375V | CO:0.19ppm NH3:36.15ppm CH4:0.06ppm | PM2.5:11.5ug/m3 PM10:22.4ug/m3
37s | CO_V:0.024375V NH3_V:0.577750V CH4_V:0.017250V | CO:0.18ppm NH3:36.15ppm CH4:0.06ppm | PM2.5:11.5ug/m3 PM10:22.4ug/m3
38s | CO_V:0.024375V NH3_V:0.578250V CH4_V:0.017375V | CO:0.18ppm NH3:36.21ppm CH4:0.06ppm | PM2.5:11.6ug/m3 PM10:22.4ug/m3
39s | CO_V:0.024125V NH3_V:0.577625V CH4_V:0.017125V | CO:0.18ppm NH3:36.14ppm CH4:0.06ppm | PM2.5:11.6ug/m3 PM10:21.9ug/m3
40s | CO_V:0.023625V NH3_V:0.577750V CH4_V:0.017375V | CO:0.17ppm NH3:36.15ppm CH4:0.06ppm | PM2.5:11.7ug/m3 PM10:21.9ug/m3
41s | CO_V:0.024000V NH3_V:0.578375V CH4_V:0.017250V | CO:0.18ppm NH3:36.22ppm CH4:0.06ppm | PM2.5:11.8ug/m3 PM10:22.0ug/m3
42s | CO_V:0.025000V NH3_V:0.578000V CH4_V:0.017375V | CO:0.19ppm NH3:36.18ppm CH4:0.06ppm | PM2.5:11.8ug/m3 PM10:22.2ug/m3
43s | CO_V:0.023500V NH3_V:0.578375V CH4_V:0.017250V | CO:0.17ppm NH3:36.22ppm CH4:0.06ppm | PM2.5:11.7ug/m3 PM10:22.2ug/m3
44s | CO_V:0.025125V NH3_V:0.577750V CH4_V:0.017250V | CO:0.19ppm NH3:36.15ppm CH4:0.06ppm | PM2.5:11.6ug/m3 PM10:21.7ug/m3
45s | CO_V:0.024250V NH3_V:0.577875V CH4_V:0.017125V | CO:0.18ppm NH3:36.17ppm CH4:0.06ppm | PM2.5:11.6ug/m3 PM10:21.3ug/m3
46s | CO_V:0.024750V NH3_V:0.577875V CH4_V:0.017375V | CO:0.19ppm NH3:36.17ppm CH4:0.06ppm | PM2.5:11.6ug/m3 PM10:21.6ug/m3
47s | CO_V:0.023750V NH3_V:0.578000V CH4_V:0.017250V | CO:0.17ppm NH3:36.18ppm CH4:0.06ppm | PM2.5:11.6ug/m3 PM10:21.9ug/m3
48s | CO_V:0.024750V NH3_V:0.578250V CH4_V:0.017125V | CO:0.19ppm NH3:36.21ppm CH4:0.06ppm | PM2.5:11.5ug/m3 PM10:21.2ug/m3
